54-2050,4110020.319,1384712.018,4661277.135,617590.470,212491.460,190.650
64-4336,4099196.835,1372441.142,4674332.136,609524.270,231804.770,191.470
75-1311,4063072.270,1381768.520,4702741.101,630127.700,273927.050,115.210
55-3015,4113508.311,1410611.259,4650368.244,640930.920,196459.990,98.580
74-4203,4072580.367,1373208.107,4697053.565,618933.560,265518.090,111.080
55-3137,4113992.653,1393958.114,4654987.632,625032.990,203249.950,141.630
54-2105,4106820.177,1377136.308,4666265.124,611474.260,219913.350,160.890
75-1207,4052871.649,1396629.865,4707270.568,647504.120,280519.590,225.750
56-3118,4095386.502,1444507.936,4655945.657,678882.590,204700.170,120.600
55-3340,4115062.480,1402103.599,4651569.499,632382.630,198235.430,106.910
76-3109,4049246.485,1426915.426,4701395.860,677313.110,271789.370,265.020
75-1405,4056450.584,1388800.575,4706544.002,638935.740,279418.190,251.440
54-2429,4111998.940,1383900.819,4659740.335,616177.940,210269.530,159.440
75-2421,4047970.909,1416414.760,4705650.339,667804.280,278079.270,273.060
56-3055A,4101788.362,1439511.709,4651860.413,672071.220,198681.380,103.800
74-4435,4077563.144,1368837.505,4694186.624,613177.200,261159.920,229.880
66-3016,4075055.721,1453580.496,4670864.144,694092.740,226762.310,141.270
64-2106,4084331.330,1366595.249,4688972.108,608849.340,253460.130,217.930
64-2307,4091062.046,1366375.223,4683229.230,606445.350,244943.050,236.540
76-30221,4055011.340,1443586.064,4691222.249,691188.830,256887.950,138.150
75-2057,4049502.463,1402600.558,4708473.535,654247.200,282243.180,289.800
55-4063,4107458.890,1432966.433,4648899.799,664034.350,194304.810,105.800
76-3115,4049347.711,1433317.990,4699245.476,683332.160,268725.820,169.870
55-4336,4112121.060,1423904.126,4647561.117,653947.550,192332.020,98.020
56-10011,4082930.453,1454012.811,4664012.226,691930.680,216542.440,227.760
75-1106,4057917.931,1380380.623,4707559.963,630497.660,281108.760,112.150
64-4312,4105525.303,1368951.821,4669781.290,604160.950,225159.880,155.990
74-4001,4080491.090,1364191.559,4693548.414,607833.050,259804.760,633.280
76-1329,4045066.214,1427757.618,4704639.972,679473.930,276691.750,209.290
